model,n_test_samples,accuracy,precision_attack,recall_attack,f1_attack,macro_f1,weighted_f1,roc_auc,per_sample_ms_median,throughput_samples_per_s,train_seconds,selected_hyperparameters
Logistic Regression,22544,0.719438,0.907361,0.564794,0.69622,0.717789,0.714802,0.888959,0.0001,9879062.1,3.31,"{""solver"": ""lbfgs"", ""max_iter"": 2000, ""class_weight"": ""balanced"", ""C"": 0.01}"
Random Forest,22544,0.770626,0.9696,0.61638,0.753656,0.769533,0.767334,0.949779,0.00768,130255.9,89.62,"{""class_weight"": ""balanced"", ""n_jobs"": -1, ""n_estimators"": 200, ""max_depth"": null}"
SVM (RBF),22544,0.72516,0.907728,0.575703,0.704558,0.723817,0.72115,0.834954,0.06186,16164.5,8.1,"{""kernel"": ""rbf"", ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""cache_size"": 512, ""C"": 10.0}"
LSTM,22535,0.757266,0.91505,0.632289,0.747833,0.756926,0.755667,0.884569,0.01147,87174.2,433.14,"{""lstm_units"": 64, ""dropout"": 0.3, ""dense_units"": 32, ""learning_rate"": 0.001, ""batch_size"": 256, ""epochs"": 40, ""window"": 10, ""stride"": 1}"
